Prim dist
0,750,680,100000,100000,100000,100000,100000,100000,100000,
0,750,680,820,100000,100000,100000,100000,960,100000,
0,750,680,650,1140,100000,100000,100000,960,100000,
0,750,680,650,570,100000,100000,530,960,100000,
0,750,680,650,570,100000,900,530,680,1380,
0,750,680,650,570,840,900,530,680,1380,
0,750,680,650,570,840,900,530,680,1380,
0,750,680,650,570,840,340,530,680,1380,
0,750,680,650,570,840,340,530,680,1380,
0,750,680,650,570,840,340,530,680,1380,
Dijkstra dist
0,750,680,100000,100000,100000,100000,100000,100000,100000,
0,750,680,1500,100000,100000,100000,100000,1640,100000,
0,750,680,1400,1890,100000,100000,100000,1640,100000,
0,750,680,1400,1890,100000,100000,1930,1640,100000,
0,750,680,1400,1890,100000,100000,1930,1640,4240,
0,750,680,1400,1890,2730,100000,1930,1640,4240,
0,750,680,1400,1890,2730,2830,1930,1640,3310,
0,750,680,1400,1890,2730,2830,1930,1640,3310,
0,750,680,1400,1890,2730,2830,1930,1640,3310,
0,750,680,1400,1890,2730,2830,1930,1640,3310,
